,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30
Cell_1,4.548222832150401,4.27522455924904,4.15669865244442,3.7127940867419964,7.308414487226511,2.2074080130789477,0.7294969843493155,1.8562988329182308,1.4480167792505398,0.08014271918094973,0.37899975065571495,1.540073796534214,3.5737478122178294,0.9393973989819336,0.6719183844424078,1.290624828073995,0.6307281063465754,0.8791121265536161,1.1521486384327577,0.3565502649678628,2.299726208074245,0.2824305283530278,1.3924808227159546,2.1598881486360346,1.361727160561908,1.0461573828334514,0.8707225734505383,0.7364977481684903,2.721499420481554,1.5528946751229935
Cell_2,3.4882753570582254,3.8936060287921723,4.942525931655654,5.530378248145543,6.160851077865686,0.4747032973062497,0.8635361370062709,0.7218626978716937,0.977402366765474,2.282754854324774,3.3302429740165667,1.6024934833714408,0.5993779177833608,1.1283963800021126,3.8040552370706897,1.2632365934919207,0.8725869540036815,0.9451156706398772,1.596463756007529,0.49315963338994045,0.7042956119917013,2.461036899513439,1.5590025422060523,1.2746951246981126,2.5568447964577894,0.560790370070083,0.8473323306110541,1.5166325580607127,1.471965248919441,0.2084256511406747
Cell_3,4.260519336488567,3.4472549606752825,4.849923292020768,5.41427557932634,4.772531430402476,0.07915203355388387,1.1382620974609687,1.2329394470111052,6.362281325394803,0.9709832551216547,1.5236255086043842,2.887584295991442,2.181893009908519,3.4324569332352266,0.21309213035466615,0.39049392505241076,0.65566565122124,0.16542341708762426,1.2423011558119614,0.4287044720638683,3.7692268140360903,0.5086749853059861,0.8522295523788406,2.2844304452337076,0.27824718801721704,0.14929020930774295,1.3776730700338358,1.4704870490869317,2.2312674510870907,1.8261112618188786
Cell_4,4.06306008874763,4.37350749271244,4.900958109774134,3.9884285282475394,3.656515984314509,4.565015279646233,1.7569517912425936,0.3988077091666815,2.2400355751383874,2.5472548073671475,1.6717287479137533,0.9211823161765078,0.5272280894792818,1.0853531437140196,1.5753092696531725,1.1807667400729291,3.5462191342052938,1.9813495213730166,0.4641424660416346,0.35012933825049136,1.7692407068922564,0.9415618480562316,2.1202888371449466,1.7561071368707557,1.0897572214450648,0.47022406264186883,0.17616725712898207,1.413529542591233,0.27211401291237086,0.4487167823204041
Cell_5,4.579541528872669,3.6922095764181537,3.6694253494229674,6.985935928251935,6.397809565275152,1.8160733916699945,1.8142615271599156,1.8160914089516447,2.53025162609244,2.0211638730305967,0.5151790058850292,0.929112268906004,5.877894852072276,0.08877163838599911,0.7275577545612061,2.7824168127540347,0.552053761950506,2.0654298007248775,1.2165853890744012,0.5948990059376916,1.3798710178297813,0.5029409968969961,1.0470735035213476,1.801535065876597,2.3738841019024535,0.725184499812271,0.5937079091396207,0.2659624987350234,2.4654095990312066,5.287753560028525
Cell_6,5.755917844276029,5.999150180323438,3.7212703966319807,4.227093759082032,4.980552671119957,0.3731315243556138,0.06623668791342445,0.2504305097961841,1.0333896483057412,0.7325100080495847,1.6610360492366165,2.450988094151436,0.9613660080807057,1.2336863958620579,0.08305856888722149,3.1684054042765992,2.0769122883862683,1.2450169233490223,0.7161848335076817,1.4055708810661294,0.6153724469210153,0.8232786843293692,1.6029978896011023,1.913935633099452,1.8698411533110222,0.5554554389780851,0.10512100835079216,0.28254530987872173,3.776136471189087,0.7534137534795173
Cell_7,3.198950229038267,5.706013894050766,3.7581306367609666,5.66253636088414,3.957599386823761,0.6218415988012024,4.690988596820801,2.7369263141729587,3.012063305930199,0.2926985523156355,0.5627189861463107,1.1571690581905272,0.8636420815730628,2.268064326946713,1.9632225516673019,3.3338104366227226,0.7584398613693584,1.4009586248997028,2.910434710456092,0.72326946247287,0.5862362825505655,3.3386644120004654,3.8168678676192545,0.8696383069493858,1.1617451846225597,3.148677658195109,2.213077669088012,0.1982358785737017,0.47179160880826,1.2435288946426237
Cell_8,5.078617429492946,4.856904636116171,3.869627142762587,4.5872602868568135,7.127714097416407,1.0509016370992443,2.570837411080978,1.0044630617377686,0.22978030869259444,1.603615444641683,2.165587213626907,3.598889172762174,1.0889500960589011,0.8876117600392244,1.5158057702722771,0.3374770449208855,1.4904296475184318,1.4943599370981955,1.0532237410522614,1.107756398453394,3.69023260268745,1.5377498528347773,0.8601719932854561,0.22486787261910388,1.8459130323518613,0.481451486243825,0.8682713687896786,1.2951809129242007,3.772363535360247,2.663885551540486
Cell_9,4.120377683551237,6.120516113570874,4.844767636970598,3.1329711264193096,5.902673869057574,1.396462678368051,0.041947947460974216,2.5804303331646947,1.5615585105008782,1.1508412300933772,2.2556240844517763,1.159983632145524,1.6584999812099683,1.0388793414696373,1.087204994430643,0.33563507380808844,1.776666027226028,5.091838780320825,0.8545984971175833,0.48890998643745254,0.6610295308159212,0.20207804341348365,0.9717749154907255,1.0599768408206793,1.2127710015292543,2.348994667404048,0.6166944078911225,0.6697545782252889,0.2794162087461544,0.6123545004733951
Cell_10,2.9455481858264183,5.564088076965101,3.180027547674494,2.2986178884318753,4.921621260669151,0.49193645874199304,0.4370042704185305,0.3548125204957736,0.5929893488791672,1.4186042162209185,2.452451759626488,0.4543863067752672,1.1631102856352011,0.752617796887998,3.8455179075638815,3.4168181737619125,0.2467865245598597,1.1968326152222943,1.3097152748696408,0.7385096697114188,0.612727951229241,0.48103808602483794,0.6713305189052602,2.0734138271356852,1.6409922372191006,1.0773368251081052,0.5463684188695871,0.6807815913965305,5.057955863732759,3.9361075684360287
Cell_11,3.790238597819849,3.5238181193233222,3.6220727823138557,4.2711905163668185,3.7871116589354528,1.4804153126463548,1.013456243662272,0.7795810443962632,0.6297752380696291,2.1955595276174953,0.546800209496727,6.264421775703545,1.3597655849392745,1.26591138811923,1.7771962204910572,3.8409645936170653,0.6351270571382904,1.9244935973027548,1.8576580847632813,2.6795382869588753,0.8984738883914056,2.5187142832454295,0.5779565902216162,0.1568845008061249,1.1840923865375592,2.420416311014368,1.2730262879646677,1.3543479631498476,1.895399551102474,1.8078785385575842
Cell_12,6.618070805888578,3.8497958652140354,3.9714701651899036,6.877799372422527,4.790735487382991,3.1819525773812103,0.7492898021918557,2.548116908118481,2.565807739817801,0.1426081497239503,1.4972169981243855,1.360800498106356,2.3219070422296006,1.3727278088836286,6.985025169525918,4.3444168434995865,1.9274297087235885,1.4583723603585952,0.31783578990269307,1.376767617522884,1.2781561885247674,6.6181221488341535,1.8290412091000239,2.747943286201379,0.643601214820338,2.3505316384859953,0.02666898254141478,3.1465578226988913,0.4871126206464631,0.32438740324558135
Cell_13,3.738654350883438,4.868189764025378,4.27648092998015,3.3388597419155093,4.623384692712259,0.9978191018096918,0.5771770975270423,1.3354574946839686,1.0469653927668248,1.3422652584406698,6.726015760710665,0.33288774829486256,3.4010345764193026,0.3009960015214204,1.400811062508863,1.0121523165181263,1.8346035957579017,0.8178096075573805,1.093103759092645,1.0729259016237658,1.1993532905133206,1.2766075550650628,1.0314651676711342,0.8274010633521142,0.9361854166614896,1.4389166870347483,1.4615226204444143,0.5910240820788618,0.4188446307303665,0.1328471682196013
Cell_14,8.135426270720448,3.609622966147648,3.705690590690522,5.798361691695613,3.3744200108257805,0.67151508017231,2.5626402282330227,1.1335463878846954,5.386224693197206,2.053848450402083,0.2550062736946509,1.2789851168605382,0.14330765651529576,1.8700285005785289,0.7297550197685028,1.833395420191935,3.9383464548542433,3.817968555001997,1.0040940570498968,2.2727451238996874,0.8296953354973599,1.3945444461350127,0.17337412457409832,0.4993018402218753,1.9029182378221858,0.11269834705345352,1.272683288826728,1.3709300178025672,1.9536500475209464,0.17484352788286636
Cell_15,2.775838497964699,5.395868624707896,4.7378741980753105,4.153492197323037,3.386448593783149,0.7854396292213364,0.3420160142196251,2.48613685299496,0.24308612387894557,0.9389590988491857,2.289812807640536,1.9705982142409855,0.7419914735340488,1.9925548228304333,2.292838566052241,1.3172926115692012,1.7186435641518716,0.9511352403033781,2.8604879180238245,1.081945437862245,0.21194366748266624,1.7958355010569202,0.36406423590998155,3.162912787959109,1.6714397405063794,0.07720733768691906,2.3773716517601984,1.4998562448189827,2.119322390455904,1.2181914978449353
Cell_16,5.480458546810606,3.9799011221675813,5.436400478596758,4.839543760179636,2.7147329992113094,0.11155946444259417,0.8713832394603862,0.4954181059990708,0.07650372569879683,0.2881102079861856,0.9966639537234567,0.4828347538604186,5.8622407072351725,0.5864619611009069,2.93583673590498,3.9397445039672947,0.6921936759534495,0.6319577260384683,0.708770594977245,0.9943397757269075,0.808039846987338,0.3027319715677691,1.5785662850091648,0.8053764885068775,6.014542141100197,2.5011124197012653,0.8172607806995694,1.9176734642437738,1.8576815762493721,2.7721317789389124
Cell_17,4.096862427843022,3.3911413783407482,3.2649272646960323,4.480841153016124,3.8855795333164256,0.7138416584147549,2.6969492747938544,1.9178657447110892,0.8200267249694528,2.296225292065493,1.80483689738534,3.3868960709042564,2.0169890985053263,0.9953079517980894,1.3324188149789298,1.611904278676444,0.7912972833495742,1.385489500236474,1.2175460891338308,2.011974427109586,5.410264097887005,1.4572943947859933,3.834559958079951,1.954152186869514,1.3800580352097627,0.7478466360512386,1.389115504825311,1.3162645904541386,0.5620720402567323,0.6611061890160324
Cell_18,4.940410416856488,6.308744433536606,4.668413302895793,3.0250102584869207,3.3666802221808902,2.1112229673170364,0.25821109183222085,2.385527247591289,2.0193102668414538,1.0627896590485346,0.5675412998322446,0.9250188405651107,1.5897405115068706,0.269746882420002,3.5241228368156117,1.5773862935314789,1.7328251376815618,2.007688140792717,3.271714580824206,1.3920675638851303,2.112261408662815,0.5779706011180857,4.393324221276495,1.31057758296424,0.5748253951917845,0.7480475504334766,0.08452098783789046,0.743140741283059,0.01866453106220865,2.2378930668595873
Cell_19,3.5848154829961008,3.170865242983004,3.8807137251343837,4.3880837219169795,3.0469647133931277,0.9439031987676118,1.1959483076744986,0.9195323002011725,0.5741972420036664,0.38475106891738065,0.8886211387571213,0.6520816393173764,1.9008473500137475,3.4248360223679857,2.477474080532532,1.2322673583906973,0.5981198644781899,2.4253082481790686,1.9959986127153775,3.2465228273022144,1.393378392706788,4.225629788429655,1.3937567808488889,0.5950247226680405,0.7181737255913474,1.8274132190097487,0.6502357376972823,4.204215047937126,1.7042578646960929,1.2081984181160428
Cell_20,3.490376411273308,4.032086348775028,3.0079359921343594,3.354445414511303,6.870051968889141,1.4262829446993879,2.7025000712310736,2.762662883706457,1.125565108401319,2.022615725972505,0.15798131761488568,3.598618461804812,3.3823532726713514,1.7857700336170448,1.4714841566662258,1.1392822133402556,2.9470938105997493,2.2144610240907765,0.8173409382695738,0.32703996635922505,0.2525707344580634,2.9233129215466227,1.1167169540159574,1.7615080895263917,1.2516265396057122,0.2571502983176409,0.16369123293698634,0.7626530668491194,0.8291455091277936,0.8286247110486281
Cell_21,2.9627329712795154,8.464792497882188,5.579426858955873,4.310411535327923,4.56742484752045,1.12692211943291,2.1504133888180688,1.0816364855114817,2.462681602606957,1.5823614427661263,5.188450391861817,1.0222944582801121,2.8196629226071495,0.36534729346724304,0.6142929676189295,4.695670630899721,2.3813716112045618,1.7881405860936357,1.1055313355006668,2.8144977974579986,2.975838210316732,3.969780141237446,0.31485340956325975,1.0987515297453796,1.559017350714301,3.9217875577480736,1.7283030006583742,2.9807613657696437,0.27960212028274106,0.8738725831799393
Cell_22,6.104823128478216,4.118862601308685,4.118816531647513,8.483392971310998,3.7143250566074046,0.6036546588045479,0.24166838767722537,3.9907915592376324,2.632613422415286,2.580830279905357,0.8498052137044148,0.21739013029251594,0.13913029505940197,3.3915445573519127,1.8879047602298273,2.193382857019622,1.4975066989140895,0.5270828078504074,0.8890042503682825,0.39150767015834403,0.33453603137915267,2.4662183872510606,0.15966533257852086,0.39469999105835546,0.9404664781172439,1.2842266762486774,0.2375566763686269,1.710036818015786,1.4256190394378783,3.347444020415309
Cell_23,3.7330829490621973,5.733491020567877,4.082327882709289,3.6096232366490844,3.054218495328505,0.5668753807592423,0.8762031943127291,3.099945237820819,0.47700255295762134,5.356062592380844,1.9938441338654067,1.6731269210767936,1.2146311634869795,1.0149806274523465,0.662164490876873,0.2244310305188678,0.4960971992220453,3.9836885574180747,1.8954688208264217,3.9574898336760986,0.6444150439275461,0.3780177138869205,1.2038696052544868,0.5169673997508127,1.4378410747172496,0.1638914587432403,0.06643248250246751,1.6191280075203558,4.066192616814284,1.6803072587416443
Cell_24,4.216417977553771,4.465971480874181,4.021746678012808,2.769009446187737,3.926598362867901,3.0758701060386486,0.857191722986847,3.028711200680484,1.3265305845910138,1.3866405930926693,0.8636209081637772,2.1108255737705814,2.53514209334136,0.5069775435963633,0.23860217308021126,0.09493300973762982,1.8058734282877278,1.6387225081695327,6.4623833910808965,1.2573032787716678,1.0630801944209731,1.4799718142863276,1.5497780857737384,0.9877085252692066,0.5259512513032285,1.1973712888895738,1.1568447172513074,1.1398427070278552,2.291621253614506,1.177884537751304
Cell_25,4.018401212571108,3.3862523358599197,4.379089940438001,4.335041115073414,5.016835367552065,1.2377018342682624,0.06939614011038157,0.2871339177116986,1.9420391715803056,0.9509745372435292,1.3347258816066618,0.8391344920277412,0.6216229395390074,0.8695091621714243,1.3488430241265443,1.1699598381780758,2.5222110739558317,0.18550039726447198,0.22548524430682104,0.940342754120176,1.8546839305145466,2.1937556603889448,0.6481820584395075,0.009387616673214381,0.6705273586584953,1.6430958704606062,1.1502081470086252,1.9108983779368542,2.9951187928261636,1.0036757523426558
Cell_26,3.341069502431014,3.342002554994002,2.675357908865341,2.536330605848795,3.842072275999805,2.6889199282740446,2.062788192562417,0.7150318525225227,5.392422298406592,0.6270964077974807,3.213188870865699,3.796620327937221,1.7373551646596421,0.5770763270428748,0.8148890874155925,1.377729119693807,0.23269264141498716,0.40042980184917865,0.3618692012210527,1.8476162126000206,2.9731649294053724,2.1282657521979167,2.607109461180137,0.5252847787118646,0.8516879635211909,0.9161672952365137,1.7316085291024408,0.6004882276041158,2.4832003669433393,3.718782352368226
Cell_27,4.543504131186461,3.3576612420749017,2.8699535361923916,2.6060416442878362,2.092702635296331,0.9436317682167389,0.8924886809902219,2.364735304758538,0.6434001053248641,0.9953044215800493,1.4992787658572135,1.7813906287150787,2.154048951738731,1.3733186333432152,0.25173419846100736,1.6538185533853789,0.5950668586852749,3.0803864828718956,1.1897937522074995,1.4465090159284977,6.836903062873525,2.1842033105752745,1.6286908145910026,1.0234161195744966,0.2809836359703573,0.9551461731007201,0.4680311009133507,4.059572001730141,1.646990511334675,2.995240271479257
